"(Vol Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,136.0,136.0,151.0,141.0,162.0,180.0
mean,4.801514569450829,4.0900735294117645,4.019894227286836,2.0975315824468086,3.492283950617284,8.018077935112846
std,2.470351943303464,2.3085334438166676,2.3388846298532404,1.7337848178647894,2.6556255242564664,5.100045266331081
min,1.5,1.25,0.5,0.5,0.0,0.0
5%,2.0,1.75,1.25,0.75,1.25,2.2375000000000003
25%,3.25,2.5,2.5,1.25,2.25,5.0
50%,4.375,3.5,3.5,1.75,2.875,7.25
68%,5.25,4.5,4.2500000000000036,2.0500000000000007,3.5,9.25
90%,7.625,6.5,7.5,3.5,5.75,13.25
95%,9.875,7.25,8.75,4.25,8.987499999999997,17.012499999999996
99%,14.362500000000018,13.575000000000003,11.375,10.899999999999991,12.309999999999945,25.39000000000007
99.7%,15.7975,14.791249999999998,12.0,11.790000000000006,18.75674999999997,35.162249999999965
max,16.0,15.5,12.0,12.0,22.5,38.25
