"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,96.0,96.0,110.0,103.0,114.0,127.0
mean,2.2604166666666665,1.9505208333333333,2.159090909090909,1.0509708737864079,1.9210526315789473,4.2795275590551185
std,1.845662292578362,2.1378850196996426,1.9646320221571785,1.4460727848705772,2.1873823076996075,4.460431657214234
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.1625000000000001,0.25
25%,0.75,0.5,0.75,0.25,0.75,1.0
50%,1.75,1.5,1.75,0.5,1.375,3.5
68%,3.0,2.150000000000002,2.5,1.0,2.0,5.25
90%,4.875,3.625,4.800000000000004,2.25,4.175000000000001,8.75
95%,5.5625,6.375,6.0,3.0,4.837499999999999,12.949999999999989
99%,7.074999999999996,10.862499999999994,8.637499999999996,6.220000000000006,7.402500000000003,20.059999999999967
99.7%,8.072500000000005,12.358750000000008,9.423000000000002,9.893500000000014,14.605750000000015,27.5035
max,8.5,13.0,9.75,11.5,18.25,31.0
