"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,147.0,147.0,161.0,151.0,175.0,195.0
mean,2.020408163265306,1.816326530612245,2.1009316770186337,0.9652317880794702,1.5642857142857143,3.8282051282051284
std,1.6807507608009298,1.8392892766860796,1.8454714171595274,1.2342473195904113,1.9059635474832606,3.9271686974618345
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.0
25%,0.75,0.75,0.75,0.25,0.5,1.0
50%,1.5,1.5,1.75,0.75,1.0,3.25
68%,2.5,2.0,2.5,1.0,1.75,4.5
90%,4.350000000000001,3.5,4.75,2.0,3.5,7.5
95%,5.424999999999997,4.0,5.75,2.625,4.5,9.474999999999987
99%,6.539999999999992,9.59999999999998,8.000000000000007,5.5,6.944999999999993,15.640000000000015
99.7%,7.843000000000018,12.014500000000027,9.27000000000001,9.13750000000006,12.638500000000093,25.61650000000006
max,8.5,13.0,9.75,11.5,18.25,31.0
