"(Vol Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,120.0,120.0,120.0,112.0,144.0,160.0
mean,2.762549845377606,3.144791666666667,3.732291666666667,1.7143031529017858,2.482638888888889,5.40235595703125
std,1.5832226038176,1.800297290556133,2.3404045918839516,1.3944098049083005,2.2017262731714817,3.5955781295856886
min,0.375,0.5,0.5,0.375,0.75,0.375
5%,1.25,1.25,1.125,0.625,1.0,1.25
25%,1.75,1.875,2.25,0.96875,1.25,3.125
50%,2.375,2.625,3.0625,1.25,1.75,4.75
68%,2.875,3.24,4.115,1.625,2.125,6.125
90%,4.5,6.0,6.425000000000004,3.5500000000000043,4.637500000000006,8.875
95%,5.643749999999999,6.75625,7.931249999999997,4.26874999999999,6.462499999999999,13.15624999999999
99%,7.810000000000002,8.607500000000002,12.143750000000004,7.2925,12.838749999999997,15.903749999999999
99.7%,10.330875000000002,9.393,13.464500000000001,7.875250000000001,14.427499999999995,21.48574999999996
max,11.625,9.75,14.0,8.125,15.5,26.375
